position,player,conference,salary,asof,source_doc,tab name
DE,"Watt, T.J. PIT DE",NFC,24.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Oluokun, Foyesade JAC LB",NFC,14.52,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Adebo, Paulson NYG CB",AFC,5.84,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Winfield, Antoine TBB S",AFC,9.12,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Mahomes, Patrick KCC QB",AFC,37.7,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Barkley, Saquon PHI RB",AFC,26.48,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Chase, Ja'Marr CIN WR",NFC,42.24,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Kittle, George SFO TE",AFC,18.15,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Boswell, Chris PIT PK",AFC,3.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Dicker, Cameron LAC PK",AFC,2.3,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Sanchez, Rigoberto IND PN",AFC,2.17,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Wilkins, Christian LVR DT",AFC,19.21,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Crosby, Maxx LVR DE",NFC,24.24,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Smith, Roquan BAL LB",AFC,12.97,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Taylor, Alontae NOS CB",AFC,5.46,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Hufanga, Talanoa DEN S",AFC,8.88,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Prescott, Dak DAL QB",AFC,37.21,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"McCaffrey, Christian SFO RB",NFC,25.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Jefferson, Justin MIN WR",NFC,41.25,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Hockenson, T.J. MIN TE",AFC,16.82,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Butker, Harrison KCC PK",AFC,2.3,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Boswell, Chris PIT PK",NFC,1.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Cooke, Logan JAC PN",AFC,1.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Brown, Derrick CAR DT",AFC,17.72,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Crosby, Maxx LVR DE",AFC,22.99,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Baun, Zack PHI LB",AFC,11.22,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Stingley Jr., Derek HOU CB",NFC,5.35,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Bates, Jessie ATL S",NFC,8.87,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Jackson, Lamar BAL QB",AFC,35.95,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Jacobs, Josh GBP RB",NFC,18.81,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Hill, Tyreek MIA WR",AFC,40.76,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Hockenson, T.J. MIN TE",NFC,13.6,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Dicker, Cameron LAC PK",AFC,2.3,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Dicker, Cameron LAC PK",NFC,1.86,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Stonehouse, Ryan MIA PN",NFC,1.87,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Wilkins, Christian LVR DT",NFC,16.34,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Hunter, Danielle HOU DE",AFC,20.59,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Cashman, Blake MIN LB",NFC,10.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Bland, DaRon DAL CB",AFC,5.35,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Moehrig, Trevon CAR S",NFC,8.7,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Purdy, Brock SFO QB",AFC,34.16,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Harris, Najee LAC RB",NFC,18.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Jefferson, Justin MIN WR",AFC,39.2,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Andrews, Mark BAL TE",NFC,12.5,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Sanchez, Rigoberto IND PN",AFC,2.17,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Aubrey, Brandon DAL PK",NFC,1.81,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Cole, A.J. LVR PN",NFC,1.86,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Buckner, DeForest IND DT",AFC,15.96,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Watt, T.J. PIT DE",AFC,20.57,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Franklin, Zaire IND LB",NFC,10.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Taylor-Britt, Cam CIN CB",AFC,5.35,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Love, Julian SEA S",AFC,8.68,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Purdy, Brock SFO QB",NFC,30.55,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Conner, James ARI RB",NFC,17.71,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Lamb, CeeDee DAL WR",NFC,37.73,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Engram, Evan DEN TE",NFC,10.45,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Cooke, Logan JAC PN",AFC,1.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Tucker, Justin FA PK",NFC,1.81,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Bojorquez, Corey CLE PN",AFC,1.86,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Barmore, Christian NEP DT",AFC,15.29,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Bosa, Nick SFO DE",NFC,19.36,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Edwards, T.J. CHI LB",AFC,9.66,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Stingley Jr., Derek HOU CB",AFC,5.35,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Joseph, Kerby DET S",AFC,7.46,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Prescott, Dak DAL QB",NFC,30.53,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Taylor, Jonathan IND RB",NFC,17.6,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"St. Brown, Amon-Ra DET WR",NFC,34.24,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Kelce, Travis KCC TE",NFC,9.2,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Boswell, Chris PIT PK",NFC,1.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Aubrey, Brandon DAL PK",AFC,1.81,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Dickson, Michael SEA PN",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Sieler, Zach MIA DT",NFC,15.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Greenard, Jonathan MIN DE",AFC,18.77,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Smith, Roquan BAL LB",NFC,9.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Bland, DaRon DAL CB",NFC,4.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Love, Julian SEA S",NFC,7.22,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Murray, Kyler ARI QB",AFC,27.12,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Taylor, Jonathan IND RB",AFC,16.97,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"McLaurin, Terry WAS WR",NFC,34.11,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Pitts, Kyle ATL TE",AFC,9.15,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Stonehouse, Ryan MIA PN",NFC,1.87,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Fairbairn, Ka'imi HOU PK",AFC,1.81,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Scott, J.K. LAC PN",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Williams, Leonard SEA DT",AFC,15.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Garrett, Myles CLE DE",NFC,17.82,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Milano, Matt BUF LB",AFC,8.89,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Green, Renardo SFO CB",AFC,4.37,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Gardner-Johnson, Chauncey HOU S",NFC,7.22,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Allen, Josh BUF QB",AFC,25.7,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Mixon, Joe HOU RB",AFC,16.76,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"St. Brown, Amon-Ra DET WR",AFC,33.68,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Njoku, David CLE TE",NFC,8.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Cole, A.J. LVR PN",NFC,1.86,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Lutz, Wil DEN PK",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Stonehouse, Ryan MIA PN",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Stewart, Grover IND DT",AFC,14.92,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Hines-Allen, Josh JAC DE",NFC,14.95,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Franklin, Zaire IND LB",AFC,8.55,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Moore, Kenny IND CB",NFC,4.3,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Metellus, Josh MIN S",NFC,7.18,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Burrow, Joe CIN QB",AFC,24.79,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Conner, James ARI RB",AFC,16.25,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Brown, A.J. PHI WR",NFC,33.28,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Pitts, Kyle ATL TE",NFC,8.54,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Bojorquez, Corey CLE PN",AFC,1.86,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"McLaughlin, Chase TBB PK",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Cooke, Logan JAC PN",NFC,1.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Sieler, Zach MIA DT",AFC,14.75,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Hines-Allen, Josh JAC DE",AFC,13.31,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Queen, Patrick PIT LB",AFC,8.33,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Humphrey, Marlon BAL CB",AFC,4.3,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Elliott, DeShon PIT S",NFC,7.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Allen, Josh BUF QB",NFC,24.76,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Montgomery, David DET RB",AFC,15.48,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Hill, Tyreek MIA WR",NFC,28.5,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Goedert, Dallas PHI TE",NFC,8.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Dicker, Cameron LAC PK",NFC,1.86,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Fairbairn, Ka'imi HOU PK",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Stout, Jordan BAL PN",NFC,1.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Simmons, Jeffery TEN DT",AFC,14.71,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Garrett, Myles CLE DE",AFC,12.49,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Wilson, Logan CIN LB",NFC,7.93,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Lenoir, Deommodore SFO CB",NFC,4.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Baker, Budda ARI S",AFC,6.7,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Goff, Jared DET QB",AFC,24.53,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Mixon, Joe HOU RB",NFC,15.22,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Adams, Davante LAR WR",NFC,27.23,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Andrews, Mark BAL TE",AFC,7.79,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Aubrey, Brandon DAL PK",NFC,1.81,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Myers, Jason SEA PK",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Dixon, Riley TBB PN",AFC,1.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Allen, Zach DEN DT",NFC,14.69,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Rousseau, Gregory BUF DE",NFC,11.52,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Queen, Patrick PIT LB",NFC,7.93,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Johnson, Taron BUF CB",NFC,3.87,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Holland, Jevon NYG S",NFC,6.64,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Burrow, Joe CIN QB",NFC,24.52,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Kamara, Alvin NOS RB",NFC,15.2,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Godwin, Chris TBB WR",NFC,26.62,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Schultz, Dalton HOU TE",NFC,7.44,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Tucker, Justin FA PK",NFC,1.81,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"McLaughlin, Chase TBB PK",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Townsend, Tommy HOU PN",AFC,1.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Lawrence, Dexter NYG DT",NFC,14.4,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Burns, Brian NYG DE",NFC,10.89,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Brooks, Jordyn MIA LB",AFC,7.78,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Jones, Jaylon IND CB",AFC,3.71,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"James, Derwin LAC S",AFC,6.47,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Hurts, Jalen PHI QB",NFC,23.52,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Jones, Aaron MIN RB",AFC,14.84,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Smith, DeVonta PHI WR",AFC,26.21,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Otton, Cade TBB TE",AFC,6.68,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Aubrey, Brandon DAL PK",AFC,1.81,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Carlson, Daniel LVR PK",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Bojorquez, Corey CLE PN",NFC,1.09,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Robinson, A'Shawn CAR DT",AFC,13.46,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Phillips, Jaelan MIA DE",AFC,10.81,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Singleton, Alex DEN LB",NFC,7.59,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Hobbs, Nate GBP CB",NFC,3.63,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Dugger, Kyle NEP S",AFC,6.44,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Jackson, Lamar BAL QB",NFC,22.74,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Barkley, Saquon PHI RB",NFC,14.37,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Waddle, Jaylen MIA WR",AFC,26.21,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Higbee, Tyler LAR TE",NFC,6.53,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Fairbairn, Ka'imi HOU PK",AFC,1.81,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Sanders, Jason MIA PK",NFC,1.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Stout, Jordan BAL PN",AFC,1.09,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Williams, Quinnen NYJ DT",NFC,12.78,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Parsons, Micah DAL DE",AFC,10.07,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Singleton, Alex DEN LB",AFC,7.59,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Murphy, Byron MIN CB",NFC,3.5,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Moehrig, Trevon CAR S",AFC,6.29,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Murray, Kyler ARI QB",NFC,22.18,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"McCaffrey, Christian SFO RB",AFC,14.25,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Collins, Nico HOU WR",AFC,25.25,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Bowers, Brock LVR TE",AFC,6.38,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Dickson, Michael SEA PN",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Bates, Jake DET PK",NFC,1.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Baringer, Bryce NEP PN",AFC,1.06,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Allen, Zach DEN DT",AFC,12.67,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Landry, Harold NEP DE",NFC,9.9,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Warner, Fred SFO LB",NFC,7.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Gordon, Kyler CHI CB",AFC,3.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Gardner-Johnson, Chauncey HOU S",AFC,6.14,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Mayfield, Baker TBB QB",AFC,20.87,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Jacobs, Josh GBP RB",AFC,12.97,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Jeudy, Jerry CLE WR",AFC,24.48,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Kmet, Cole CHI TE",AFC,6.38,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Scott, J.K. LAC PN",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Carlson, Daniel LVR PK",NFC,1.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Baringer, Bryce NEP PN",NFC,1.04,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Allen, Jonathan MIN DT",NFC,12.6,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Hunter, Danielle HOU DE",NFC,9.5,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Thompson, Shaq BUF LB",NFC,7.33,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Emerson, Martin CLE CB",AFC,3.41,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Bates, Jessie ATL S",AFC,6.13,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Goff, Jared DET QB",NFC,18.7,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Etienne, Travis JAC RB",AFC,12.6,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Diggs, Stefon NEP WR",NFC,22.77,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Henry, Hunter NEP TE",NFC,6.35,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Stonehouse, Ryan MIA PN",AFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK,"Moody, Jake SFO PK",NFC,1.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PN,"Evans, Ethan LAR PN",AFC,1.04,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DT,"Barmore, Christian NEP DT",NFC,12.45,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
DE,"Chubb, Bradley MIA DE",NFC,9.2,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
LB,"Bolton, Nick KCC LB",AFC,7.3,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
CB,"Nixon, Keisean GBP CB",AFC,3.26,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
S,"Byard, Kevin CHI S",AFC,6.1,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
QB,"Tagovailoa, Tua MIA QB",AFC,18.63,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
RB,"Swift, D'Andre CHI RB",NFC,11.88,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
WR,"Godwin, Chris TBB WR",AFC,22.63,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
TE,"Njoku, David CLE TE",AFC,6.0,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
PK/PN,"Lutz, Wil DEN PK",NFC,1.8,2025-09-03 14:03,2025 ADL Contract Admin,Jul1 Sal
