year,team,id,position,name,draft_team,draft_year,stats_global_id,twitter_username,cbs_id,fleaflicker_id,stats_id,status,sportsdata_id,height,rotoworld_id,rotowire_id,draft_round,weight,college,espn_id,jersey,birthdate,nfl_id,draft_pick
2021,WAS,0170,TMWR,"FootballTeam, Washington",WAS,1970,0,,,,,,,,,,,,,,,,,
2021,CHI,0171,TMWR,"Bears, Chicago",CHI,1970,0,,,,,,,,,,,,,,,,,
2021,DET,0172,TMWR,"Lions, Detroit",DET,1970,0,,,,,,,,,,,,,,,,,
2021,GBP,0173,TMWR,"Packers, Green Bay",GBP,1970,0,,,,,,,,,,,,,,,,,
2021,MIN,0174,TMWR,"Vikings, Minnesota",MIN,1970,0,,,,,,,,,,,,,,,,,
2021,TBB,0175,TMWR,"Buccaneers, Tampa Bay",TBB,1970,0,,,,,,,,,,,,,,,,,
2021,ATL,0176,TMWR,"Falcons, Atlanta",ATL,1970,0,,,,,,,,,,,,,,,,,
2021,CAR,0177,TMWR,"Panthers, Carolina",CAR,1970,0,,,,,,,,,,,,,,,,,
2021,LAR,0178,TMWR,"Rams, Los Angeles",FA,1970,0,,,,,,,,,,,,,,,,,
2021,NOS,0179,TMWR,"Saints, New Orleans",NOS,1970,0,,,,,,,,,,,,,,,,,
2021,SFO,0180,TMWR,"49ers, San Francisco",SFO,1970,0,,,,,,,,,,,,,,,,,
2021,BAL,0181,TMWR,"Ravens, Baltimore",BAL,1970,0,,,,,,,,,,,,,,,,,
2021,HOU,0182,TMWR,"Texans, Houston",HOU,1970,0,,,,,,,,,,,,,,,,,
2021,BUF,0201,TMRB,"Bills, Buffalo",BUF,1970,0,,,,,,,,,,,,,,,,,
2021,IND,0202,TMRB,"Colts, Indianapolis",IND,1970,0,,,,,,,,,,,,,,,,,
2021,MIA,0203,TMRB,"Dolphins, Miami",MIA,1970,0,,,,,,,,,,,,,,,,,
2021,NEP,0204,TMRB,"Patriots, New England",NEP,1970,0,,,,,,,,,,,,,,,,,
2021,NYJ,0205,TMRB,"Jets, New York",NYJ,1970,0,,,,,,,,,,,,,,,,,
2021,CIN,0206,TMRB,"Bengals, Cincinnati",CIN,1970,0,,,,,,,,,,,,,,,,,
2021,CLE,0207,TMRB,"Browns, Cleveland",CLE,1970,0,,,,,,,,,,,,,,,,,
2021,TEN,0208,TMRB,"Titans, Tennessee",TEN,1970,0,,,,,,,,,,,,,,,,,
2021,JAC,0209,TMRB,"Jaguars, Jacksonville",JAC,1970,0,,,,,,,,,,,,,,,,,
2021,PIT,0210,TMRB,"Steelers, Pittsburgh",PIT,1970,0,,,,,,,,,,,,,,,,,
2021,DEN,0211,TMRB,"Broncos, Denver",DEN,1970,0,,,,,,,,,,,,,,,,,
2021,KCC,0212,TMRB,"Chiefs, Kansas City",KCC,1970,0,,,,,,,,,,,,,,,,,
2021,LVR,0213,TMRB,"Raiders, Las Vegas",OAK,1970,0,,,,,,,,,,,,,,,,,
2021,LAC,0214,TMRB,"Chargers, Los Angeles",FA,1970,0,,,,,,,,,,,,,,,,,
2021,SEA,0215,TMRB,"Seahawks, Seattle",SEA,1970,0,,,,,,,,,,,,,,,,,
2021,DAL,0216,TMRB,"Cowboys, Dallas",DAL,1970,0,,,,,,,,,,,,,,,,,
2021,NYG,0217,TMRB,"Giants, New York",NYG,1970,0,,,,,,,,,,,,,,,,,
2021,PHI,0218,TMRB,"Eagles, Philadelphia",PHI,1970,0,,,,,,,,,,,,,,,,,
2021,ARI,0219,TMRB,"Cardinals, Arizona",ARI,1970,0,,,,,,,,,,,,,,,,,
2021,WAS,0220,TMRB,"FootballTeam, Washington",WAS,1970,0,,,,,,,,,,,,,,,,,
2021,CHI,0221,TMRB,"Bears, Chicago",CHI,1970,0,,,,,,,,,,,,,,,,,
2021,DET,0222,TMRB,"Lions, Detroit",DET,1970,0,,,,,,,,,,,,,,,,,
2021,GBP,0223,TMRB,"Packers, Green Bay",GBP,1970,0,,,,,,,,,,,,,,,,,
2021,MIN,0224,TMRB,"Vikings, Minnesota",MIN,1970,0,,,,,,,,,,,,,,,,,
2021,TBB,0225,TMRB,"Buccaneers, Tampa Bay",TBB,1970,0,,,,,,,,,,,,,,,,,
2021,ATL,0226,TMRB,"Falcons, Atlanta",ATL,1970,0,,,,,,,,,,,,,,,,,
2021,CAR,0227,TMRB,"Panthers, Carolina",CAR,1970,0,,,,,,,,,,,,,,,,,
2021,LAR,0228,TMRB,"Rams, Los Angeles",FA,1970,0,,,,,,,,,,,,,,,,,
2021,NOS,0229,TMRB,"Saints, New Orleans",NOS,1970,0,,,,,,,,,,,,,,,,,
2021,SFO,0230,TMRB,"49ers, San Francisco",SFO,1970,0,,,,,,,,,,,,,,,,,
2021,BAL,0231,TMRB,"Ravens, Baltimore",BAL,1970,0,,,,,,,,,,,,,,,,,
2021,HOU,0232,TMRB,"Texans, Houston",HOU,1970,0,,,,,,,,,,,,,,,,,
2021,BUF,0251,TMDL,"Bills, Buffalo",BUF,1970,0,buffalobills,,,,,,,,,,,,,,,,
2021,IND,0252,TMDL,"Colts, Indianapolis",IND,1970,0,nflcolts,,,,,,,,,,,,,,,,
2021,MIA,0253,TMDL,"Dolphins, Miami",MIA,1970,0,MiamiDolphins,,,,,,,,,,,,,,,,
2021,NEP,0254,TMDL,"Patriots, New England",NEP,1970,0,patriots,,,,,,,,,,,,,,,,
2021,NYJ,0255,TMDL,"Jets, New York",NYJ,1970,0,nyjets,,,,,,,,,,,,,,,,
2021,CIN,0256,TMDL,"Bengals, Cincinnati",CIN,1970,0,Bengals,,,,,,,,,,,,,,,,
2021,CLE,0257,TMDL,"Browns, Cleveland",CLE,1970,0,OfficialBrowns,,,,,,,,,,,,,,,,
2021,TEN,0258,TMDL,"Titans, Tennessee",TEN,1970,0,tennesseetitans,,,,,,,,,,,,,,,,
2021,JAC,0259,TMDL,"Jaguars, Jacksonville",JAC,1970,0,jaguarsinsider,,,,,,,,,,,,,,,,
2021,PIT,0260,TMDL,"Steelers, Pittsburgh",PIT,1970,0,steelers,,,,,,,,,,,,,,,,
2021,DEN,0261,TMDL,"Broncos, Denver",DEN,1970,0,DenverBroncos,,,,,,,,,,,,,,,,
2021,KCC,0262,TMDL,"Chiefs, Kansas City",KCC,1970,0,kcchiefs,,,,,,,,,,,,,,,,
2021,LVR,0263,TMDL,"Raiders, Las Vegas",OAK,1970,0,raiders,,,,,,,,,,,,,,,,
2021,LAC,0264,TMDL,"Chargers, Los Angeles",FA,1970,0,chargers,,,,,,,,,,,,,,,,
2021,SEA,0265,TMDL,"Seahawks, Seattle",SEA,1970,0,seahawks,,,,,,,,,,,,,,,,
2021,DAL,0266,TMDL,"Cowboys, Dallas",DAL,1970,0,dallascowboys,,,,,,,,,,,,,,,,
2021,NYG,0267,TMDL,"Giants, New York",NYG,1970,0,giants,,,,,,,,,,,,,,,,
2021,PHI,0268,TMDL,"Eagles, Philadelphia",PHI,1970,0,Eagles,,,,,,,,,,,,,,,,
2021,ARI,0269,TMDL,"Cardinals, Arizona",ARI,1970,0,AZCardinals,,,,,,,,,,,,,,,,
2021,WAS,0270,TMDL,"FootballTeam, Washington",WAS,1970,0,Redskins,,,,,,,,,,,,,,,,
2021,CHI,0271,TMDL,"Bears, Chicago",CHI,1970,0,ChicagoBears,,,,,,,,,,,,,,,,
2021,DET,0272,TMDL,"Lions, Detroit",DET,1970,0,detroitlionsnfl,,,,,,,,,,,,,,,,
2021,GBP,0273,TMDL,"Packers, Green Bay",GBP,1970,0,packers,,,,,,,,,,,,,,,,
2021,MIN,0274,TMDL,"Vikings, Minnesota",MIN,1970,0,Vikings,,,,,,,,,,,,,,,,
2021,TBB,0275,TMDL,"Buccaneers, Tampa Bay",TBB,1970,0,TBBuccaneers,,,,,,,,,,,,,,,,
2021,ATL,0276,TMDL,"Falcons, Atlanta",ATL,1970,0,AtlantaFalcons,,,,,,,,,,,,,,,,
2021,CAR,0277,TMDL,"Panthers, Carolina",CAR,1970,0,Panthers,,,,,,,,,,,,,,,,
2021,LAR,0278,TMDL,"Rams, Los Angeles",FA,1970,0,STLouisRams,,,,,,,,,,,,,,,,
2021,NOS,0279,TMDL,"Saints, New Orleans",NOS,1970,0,saints,,,,,,,,,,,,,,,,
2021,SFO,0280,TMDL,"49ers, San Francisco",SFO,1970,0,49ers,,,,,,,,,,,,,,,,
2021,BAL,0281,TMDL,"Ravens, Baltimore",BAL,1970,0,ravens,,,,,,,,,,,,,,,,
2021,HOU,0282,TMDL,"Texans, Houston",HOU,1970,0,houstontexans,,,,,,,,,,,,,,,,
2021,BUF,0301,TMLB,"Bills, Buffalo",BUF,1970,0,buffalobills,,,,,,,,,,,,,,,,
2021,IND,0302,TMLB,"Colts, Indianapolis",IND,1970,0,nflcolts,,,,,,,,,,,,,,,,
2021,MIA,0303,TMLB,"Dolphins, Miami",MIA,1970,0,MiamiDolphins,,,,,,,,,,,,,,,,
2021,NEP,0304,TMLB,"Patriots, New England",NEP,1970,0,patriots,,,,,,,,,,,,,,,,
2021,NYJ,0305,TMLB,"Jets, New York",NYJ,1970,0,nyjets,,,,,,,,,,,,,,,,
2021,CIN,0306,TMLB,"Bengals, Cincinnati",CIN,1970,0,Bengals,,,,,,,,,,,,,,,,
2021,CLE,0307,TMLB,"Browns, Cleveland",CLE,1970,0,OfficialBrowns,,,,,,,,,,,,,,,,
2021,TEN,0308,TMLB,"Titans, Tennessee",TEN,1970,0,tennesseetitans,,,,,,,,,,,,,,,,
2021,JAC,0309,TMLB,"Jaguars, Jacksonville",JAC,1970,0,jaguarsinsider,,,,,,,,,,,,,,,,
2021,PIT,0310,TMLB,"Steelers, Pittsburgh",PIT,1970,0,steelers,,,,,,,,,,,,,,,,
2021,DEN,0311,TMLB,"Broncos, Denver",DEN,1970,0,DenverBroncos,,,,,,,,,,,,,,,,
2021,KCC,0312,TMLB,"Chiefs, Kansas City",KCC,1970,0,kcchiefs,,,,,,,,,,,,,,,,
2021,LVR,0313,TMLB,"Raiders, Las Vegas",OAK,1970,0,raiders,,,,,,,,,,,,,,,,
2021,LAC,0314,TMLB,"Chargers, Los Angeles",FA,1970,0,chargers,,,,,,,,,,,,,,,,
2021,SEA,0315,TMLB,"Seahawks, Seattle",SEA,1970,0,seahawks,,,,,,,,,,,,,,,,
2021,DAL,0316,TMLB,"Cowboys, Dallas",DAL,1970,0,dallascowboys,,,,,,,,,,,,,,,,
2021,NYG,0317,TMLB,"Giants, New York",NYG,1970,0,giants,,,,,,,,,,,,,,,,
2021,PHI,0318,TMLB,"Eagles, Philadelphia",PHI,1970,0,Eagles,,,,,,,,,,,,,,,,
2021,ARI,0319,TMLB,"Cardinals, Arizona",ARI,1970,0,AZCardinals,,,,,,,,,,,,,,,,
2021,WAS,0320,TMLB,"FootballTeam, Washington",WAS,1970,0,Redskins,,,,,,,,,,,,,,,,
2021,CHI,0321,TMLB,"Bears, Chicago",CHI,1970,0,ChicagoBears,,,,,,,,,,,,,,,,
2021,DET,0322,TMLB,"Lions, Detroit",DET,1970,0,detroitlionsnfl,,,,,,,,,,,,,,,,
2021,GBP,0323,TMLB,"Packers, Green Bay",GBP,1970,0,packers,,,,,,,,,,,,,,,,
2021,MIN,0324,TMLB,"Vikings, Minnesota",MIN,1970,0,Vikings,,,,,,,,,,,,,,,,
2021,TBB,0325,TMLB,"Buccaneers, Tampa Bay",TBB,1970,0,TBBuccaneers,,,,,,,,,,,,,,,,
2021,ATL,0326,TMLB,"Falcons, Atlanta",ATL,1970,0,AtlantaFalcons,,,,,,,,,,,,,,,,
2021,CAR,0327,TMLB,"Panthers, Carolina",CAR,1970,0,Panthers,,,,,,,,,,,,,,,,
2021,LAR,0328,TMLB,"Rams, Los Angeles",FA,1970,0,STLouisRams,,,,,,,,,,,,,,,,
2021,NOS,0329,TMLB,"Saints, New Orleans",NOS,1970,0,saints,,,,,,,,,,,,,,,,
2021,SFO,0330,TMLB,"49ers, San Francisco",SFO,1970,0,49ers,,,,,,,,,,,,,,,,
2021,BAL,0331,TMLB,"Ravens, Baltimore",BAL,1970,0,ravens,,,,,,,,,,,,,,,,
2021,HOU,0332,TMLB,"Texans, Houston",HOU,1970,0,houstontexans,,,,,,,,,,,,,,,,
2021,BUF,0351,TMDB,"Bills, Buffalo",BUF,1970,0,buffalobills,,,,,,,,,,,,,,,,
2021,IND,0352,TMDB,"Colts, Indianapolis",IND,1970,0,nflcolts,,,,,,,,,,,,,,,,
2021,MIA,0353,TMDB,"Dolphins, Miami",MIA,1970,0,MiamiDolphins,,,,,,,,,,,,,,,,
2021,NEP,0354,TMDB,"Patriots, New England",NEP,1970,0,patriots,,,,,,,,,,,,,,,,
2021,NYJ,0355,TMDB,"Jets, New York",NYJ,1970,0,nyjets,,,,,,,,,,,,,,,,
2021,CIN,0356,TMDB,"Bengals, Cincinnati",CIN,1970,0,Bengals,,,,,,,,,,,,,,,,
2021,CLE,0357,TMDB,"Browns, Cleveland",CLE,1970,0,OfficialBrowns,,,,,,,,,,,,,,,,
2021,TEN,0358,TMDB,"Titans, Tennessee",TEN,1970,0,tennesseetitans,,,,,,,,,,,,,,,,
2021,JAC,0359,TMDB,"Jaguars, Jacksonville",JAC,1970,0,jaguarsinsider,,,,,,,,,,,,,,,,
2021,PIT,0360,TMDB,"Steelers, Pittsburgh",PIT,1970,0,steelers,,,,,,,,,,,,,,,,
2021,DEN,0361,TMDB,"Broncos, Denver",DEN,1970,0,DenverBroncos,,,,,,,,,,,,,,,,
2021,KCC,0362,TMDB,"Chiefs, Kansas City",KCC,1970,0,kcchiefs,,,,,,,,,,,,,,,,
2021,LVR,0363,TMDB,"Raiders, Las Vegas",OAK,1970,0,raiders,,,,,,,,,,,,,,,,
2021,LAC,0364,TMDB,"Chargers, Los Angeles",FA,1970,0,chargers,,,,,,,,,,,,,,,,
2021,SEA,0365,TMDB,"Seahawks, Seattle",SEA,1970,0,seahawks,,,,,,,,,,,,,,,,
2021,DAL,0366,TMDB,"Cowboys, Dallas",DAL,1970,0,dallascowboys,,,,,,,,,,,,,,,,
2021,NYG,0367,TMDB,"Giants, New York",NYG,1970,0,giants,,,,,,,,,,,,,,,,
2021,PHI,0368,TMDB,"Eagles, Philadelphia",PHI,1970,0,Eagles,,,,,,,,,,,,,,,,
2021,ARI,0369,TMDB,"Cardinals, Arizona",ARI,1970,0,AZCardinals,,,,,,,,,,,,,,,,
2021,WAS,0370,TMDB,"FootballTeam, Washington",WAS,1970,0,Redskins,,,,,,,,,,,,,,,,
2021,CHI,0371,TMDB,"Bears, Chicago",CHI,1970,0,ChicagoBears,,,,,,,,,,,,,,,,
2021,DET,0372,TMDB,"Lions, Detroit",DET,1970,0,detroitlionsnfl,,,,,,,,,,,,,,,,
2021,GBP,0373,TMDB,"Packers, Green Bay",GBP,1970,0,packers,,,,,,,,,,,,,,,,
2021,MIN,0374,TMDB,"Vikings, Minnesota",MIN,1970,0,Vikings,,,,,,,,,,,,,,,,
2021,TBB,0375,TMDB,"Buccaneers, Tampa Bay",TBB,1970,0,TBBuccaneers,,,,,,,,,,,,,,,,
2021,ATL,0376,TMDB,"Falcons, Atlanta",ATL,1970,0,AtlantaFalcons,,,,,,,,,,,,,,,,
2021,CAR,0377,TMDB,"Panthers, Carolina",CAR,1970,0,Panthers,,,,,,,,,,,,,,,,
2021,LAR,0378,TMDB,"Rams, Los Angeles",FA,1970,0,STLouisRams,,,,,,,,,,,,,,,,
2021,NOS,0379,TMDB,"Saints, New Orleans",NOS,1970,0,saints,,,,,,,,,,,,,,,,
2021,SFO,0380,TMDB,"49ers, San Francisco",SFO,1970,0,49ers,,,,,,,,,,,,,,,,
2021,BAL,0381,TMDB,"Ravens, Baltimore",BAL,1970,0,ravens,,,,,,,,,,,,,,,,
2021,HOU,0382,TMDB,"Texans, Houston",HOU,1970,0,houstontexans,,,,,,,,,,,,,,,,
2021,BUF,0401,TMTE,"Bills, Buffalo",BUF,1970,0,buffalobills,,,,,,,,,,,,,,,,
2021,IND,0402,TMTE,"Colts, Indianapolis",IND,1970,0,nflcolts,,,,,,,,,,,,,,,,
2021,MIA,0403,TMTE,"Dolphins, Miami",MIA,1970,0,MiamiDolphins,,,,,,,,,,,,,,,,
2021,NEP,0404,TMTE,"Patriots, New England",NEP,1970,0,patriots,,,,,,,,,,,,,,,,
2021,NYJ,0405,TMTE,"Jets, New York",NYJ,1970,0,nyjets,,,,,,,,,,,,,,,,
2021,CIN,0406,TMTE,"Bengals, Cincinnati",CIN,1970,0,Bengals,,,,,,,,,,,,,,,,
2021,CLE,0407,TMTE,"Browns, Cleveland",CLE,1970,0,OfficialBrowns,,,,,,,,,,,,,,,,
2021,TEN,0408,TMTE,"Titans, Tennessee",TEN,1970,0,tennesseetitans,,,,,,,,,,,,,,,,
2021,JAC,0409,TMTE,"Jaguars, Jacksonville",JAC,1970,0,jaguarsinsider,,,,,,,,,,,,,,,,
2021,PIT,0410,TMTE,"Steelers, Pittsburgh",PIT,1970,0,steelers,,,,,,,,,,,,,,,,
2021,DEN,0411,TMTE,"Broncos, Denver",DEN,1970,0,DenverBroncos,,,,,,,,,,,,,,,,
2021,KCC,0412,TMTE,"Chiefs, Kansas City",KCC,1970,0,kcchiefs,,,,,,,,,,,,,,,,
2021,LVR,0413,TMTE,"Raiders, Las Vegas",OAK,1970,0,raiders,,,,,,,,,,,,,,,,
2021,LAC,0414,TMTE,"Chargers, Los Angeles",FA,1970,0,chargers,,,,,,,,,,,,,,,,
2021,SEA,0415,TMTE,"Seahawks, Seattle",SEA,1970,0,seahawks,,,,,,,,,,,,,,,,
2021,DAL,0416,TMTE,"Cowboys, Dallas",DAL,1970,0,dallascowboys,,,,,,,,,,,,,,,,
2021,NYG,0417,TMTE,"Giants, New York",NYG,1970,0,giants,,,,,,,,,,,,,,,,
2021,PHI,0418,TMTE,"Eagles, Philadelphia",PHI,1970,0,Eagles,,,,,,,,,,,,,,,,
2021,ARI,0419,TMTE,"Cardinals, Arizona",ARI,1970,0,AZCardinals,,,,,,,,,,,,,,,,
2021,WAS,0420,TMTE,"FootballTeam, Washington",WAS,1970,0,Redskins,,,,,,,,,,,,,,,,
2021,CHI,0421,TMTE,"Bears, Chicago",CHI,1970,0,ChicagoBears,,,,,,,,,,,,,,,,
2021,DET,0422,TMTE,"Lions, Detroit",DET,1970,0,detroitlionsnfl,,,,,,,,,,,,,,,,
2021,GBP,0423,TMTE,"Packers, Green Bay",GBP,1970,0,packers,,,,,,,,,,,,,,,,
2021,MIN,0424,TMTE,"Vikings, Minnesota",MIN,1970,0,Vikings,,,,,,,,,,,,,,,,
2021,TBB,0425,TMTE,"Buccaneers, Tampa Bay",TBB,1970,0,TBBuccaneers,,,,,,,,,,,,,,,,
2021,ATL,0426,TMTE,"Falcons, Atlanta",ATL,1970,0,AtlantaFalcons,,,,,,,,,,,,,,,,
2021,CAR,0427,TMTE,"Panthers, Carolina",CAR,1970,0,Panthers,,,,,,,,,,,,,,,,
2021,LAR,0428,TMTE,"Rams, Los Angeles",FA,1970,0,STLouisRams,,,,,,,,,,,,,,,,
2021,NOS,0429,TMTE,"Saints, New Orleans",NOS,1970,0,saints,,,,,,,,,,,,,,,,
2021,SFO,0430,TMTE,"49ers, San Francisco",SFO,1970,0,49ers,,,,,,,,,,,,,,,,
2021,BAL,0431,TMTE,"Ravens, Baltimore",BAL,1970,0,ravens,,,,,,,,,,,,,,,,
2021,HOU,0432,TMTE,"Texans, Houston",HOU,1970,0,houstontexans,,,,,,,,,,,,,,,,
2021,BUF,0501,Def,"Bills, Buffalo",BUF,1970,0,buffalobills,409,2331,2,,,,,,,,,,,,,
2021,IND,0502,Def,"Colts, Indianapolis",IND,1970,0,nflcolts,402,2341,11,,,,,,,,,,,,,
2021,MIA,0503,Def,"Dolphins, Miami",MIA,1970,0,MiamiDolphins,404,2344,15,,,,,,,,,,,,,
2021,NEP,0504,Def,"Patriots, New England",NEP,1970,0,patriots,406,2346,17,,,,,,,,,,,,,
2021,NYJ,0505,Def,"Jets, New York",NYJ,1970,0,nyjets,410,2349,20,,,,,,,,,,,,,
2021,CIN,0506,Def,"Bengals, Cincinnati",CIN,1970,0,Bengals,426,2334,4,,,,,,,,,,,,,
2021,CLE,0507,Def,"Browns, Cleveland",CLE,1970,0,OfficialBrowns,419,2335,5,,,,,,,,,,,,,
2021,TEN,0508,Def,"Titans, Tennessee",TEN,1970,0,tennesseetitans,431,2358,10,,,,,,,,,,,,,
2021,JAC,0509,Def,"Jaguars, Jacksonville",JAC,1970,0,jaguarsinsider,422,2342,30,,,,,,,,,,,,,
2021,PIT,0510,Def,"Steelers, Pittsburgh",PIT,1970,0,steelers,413,2352,23,,,,,,,,,,,,,
2021,DEN,0511,Def,"Broncos, Denver",DEN,1970,0,DenverBroncos,428,2337,7,,,,,,,,,,,,,
2021,KCC,0512,Def,"Chiefs, Kansas City",KCC,1970,0,kcchiefs,403,2343,12,,,,,,,,,,,,,
2021,LVR,0513,Def,"Raiders, Las Vegas",OAK,1970,0,raiders,424,2350,13,,,,,,,,,,,,,
2021,LAC,0514,Def,"Chargers, Los Angeles",FA,1970,0,chargers,414,,24,,,,,,,,,,,,,
2021,SEA,0515,Def,"Seahawks, Seattle",SEA,1970,0,seahawks,416,2354,26,,,,,,,,,,,,,
2021,DAL,0516,Def,"Cowboys, Dallas",DAL,1970,0,dallascowboys,427,2336,6,,,,,,,,,,,,,
2021,NYG,0517,Def,"Giants, New York",NYG,1970,0,giants,408,2348,19,,,,,,,,,,,,,
2021,PHI,0518,Def,"Eagles, Philadelphia",PHI,1970,0,Eagles,411,2351,21,,,,,,,,,,,,,
2021,ARI,0519,Def,"Cardinals, Arizona",ARI,1970,0,AZCardinals,412,2328,22,,,,,,,,,,,,,
2021,WAS,0520,Def,"FootballTeam, Washington",WAS,1970,0,Redskins,418,,28,,,,,,,,,,,,,
2021,CHI,0521,Def,"Bears, Chicago",CHI,1970,0,ChicagoBears,421,2333,3,,,,,,,,,,,,,
2021,DET,0522,Def,"Lions, Detroit",DET,1970,0,detroitlionsnfl,429,2338,8,,,,,,,,,,,,,
2021,GBP,0523,Def,"Packers, Green Bay",GBP,1970,0,packers,430,2339,9,,,,,,,,,,,,,
2021,MIN,0524,Def,"Vikings, Minnesota",MIN,1970,0,Vikings,405,2345,16,,,,,,,,,,,,,
2021,TBB,0525,Def,"Buccaneers, Tampa Bay",TBB,1970,0,TBBuccaneers,417,2357,27,,,,,,,,,,,,,
2021,ATL,0526,Def,"Falcons, Atlanta",ATL,1970,0,AtlantaFalcons,401,2329,1,,,,,,,,,,,,,
2021,CAR,0527,Def,"Panthers, Carolina",CAR,1970,0,Panthers,420,2332,29,,,,,,,,,,,,,
2021,LAR,0528,Def,"Rams, Los Angeles",FA,1970,0,STLouisRams,423,,14,,,,,,,,,,,,,
2021,NOS,0529,Def,"Saints, New Orleans",NOS,1970,0,saints,407,2347,18,,,,,,,,,,,,,
2021,SFO,0530,Def,"49ers, San Francisco",SFO,1970,0,49ers,415,,25,,,,,,,,,,,,,
2021,BAL,0531,Def,"Ravens, Baltimore",BAL,1970,0,ravens,425,2330,33,,,,,,,,,,,,,
2021,HOU,0532,Def,"Texans, Houston",HOU,1970,0,houstontexans,432,2340,34,,,,,,,,,,,,,
2021,BUF,0551,ST,"Bills, Buffalo",BUF,1970,0,buffalobills,309,,,,,,,,,,,,,,,
2021,IND,0552,ST,"Colts, Indianapolis",IND,1970,0,nflcolts,302,,,,,,,,,,,,,,,
2021,MIA,0553,ST,"Dolphins, Miami",MIA,1970,0,MiamiDolphins,304,,,,,,,,,,,,,,,
2021,NEP,0554,ST,"Patriots, New England",NEP,1970,0,patriots,306,,,,,,,,,,,,,,,
2021,NYJ,0555,ST,"Jets, New York",NYJ,1970,0,nyjets,310,,,,,,,,,,,,,,,
2021,CIN,0556,ST,"Bengals, Cincinnati",CIN,1970,0,Bengals,326,,,,,,,,,,,,,,,
2021,CLE,0557,ST,"Browns, Cleveland",CLE,1970,0,OfficialBrowns,319,,,,,,,,,,,,,,,
2021,TEN,0558,ST,"Titans, Tennessee",TEN,1970,0,tennesseetitans,331,,,,,,,,,,,,,,,
2021,JAC,0559,ST,"Jaguars, Jacksonville",JAC,1970,0,jaguarsinsider,322,,,,,,,,,,,,,,,
2021,PIT,0560,ST,"Steelers, Pittsburgh",PIT,1970,0,steelers,313,,,,,,,,,,,,,,,
2021,DEN,0561,ST,"Broncos, Denver",DEN,1970,0,DenverBroncos,328,,,,,,,,,,,,,,,
2021,KCC,0562,ST,"Chiefs, Kansas City",KCC,1970,0,kcchiefs,303,,,,,,,,,,,,,,,
2021,LVR,0563,ST,"Raiders, Las Vegas",OAK,1970,0,raiders,324,,,,,,,,,,,,,,,
2021,LAC,0564,ST,"Chargers, Los Angeles",FA,1970,0,chargers,314,,,,,,,,,,,,,,,
2021,SEA,0565,ST,"Seahawks, Seattle",SEA,1970,0,seahawks,316,,,,,,,,,,,,,,,
2021,DAL,0566,ST,"Cowboys, Dallas",DAL,1970,0,dallascowboys,327,,,,,,,,,,,,,,,
2021,NYG,0567,ST,"Giants, New York",NYG,1970,0,giants,308,,,,,,,,,,,,,,,
2021,PHI,0568,ST,"Eagles, Philadelphia",PHI,1970,0,Eagles,311,,,,,,,,,,,,,,,
2021,ARI,0569,ST,"Cardinals, Arizona",ARI,1970,0,AZCardinals,312,,,,,,,,,,,,,,,
2021,WAS,0570,ST,"FootballTeam, Washington",WAS,1970,0,Redskins,318,,,,,,,,,,,,,,,
