year,id,position,team,name,draft_team,draft_year,stats_global_id,twitter_username,cbs_id,fleaflicker_id,stats_id,college,weight,draft_pick,draft_round,sportsdata_id,rotowire_id,jersey,height,rotoworld_id,espn_id,birthdate,nfl_id,status
2023,0265,TMDL,SEA,"Seahawks, Seattle",SEA,1970,0,seahawks,,,,,,,,,,,,,,,,
2023,0266,TMDL,DAL,"Cowboys, Dallas",DAL,1970,0,dallascowboys,,,,,,,,,,,,,,,,
2023,0267,TMDL,NYG,"Giants, New York",NYG,1970,0,giants,,,,,,,,,,,,,,,,
2023,0268,TMDL,PHI,"Eagles, Philadelphia",PHI,1970,0,Eagles,,,,,,,,,,,,,,,,
2023,0269,TMDL,ARI,"Cardinals, Arizona",ARI,1970,0,AZCardinals,,,,,,,,,,,,,,,,
2023,0270,TMDL,WAS,"Commanders, Washington",WAS,1970,0,Redskins,,,,,,,,,,,,,,,,
2023,0271,TMDL,CHI,"Bears, Chicago",CHI,1970,0,ChicagoBears,,,,,,,,,,,,,,,,
2023,0272,TMDL,DET,"Lions, Detroit",DET,1970,0,detroitlionsnfl,,,,,,,,,,,,,,,,
2023,0273,TMDL,GBP,"Packers, Green Bay",GBP,1970,0,packers,,,,,,,,,,,,,,,,
2023,0274,TMDL,MIN,"Vikings, Minnesota",MIN,1970,0,Vikings,,,,,,,,,,,,,,,,
2023,0275,TMDL,TBB,"Buccaneers, Tampa Bay",TBB,1970,0,TBBuccaneers,,,,,,,,,,,,,,,,
2023,0276,TMDL,ATL,"Falcons, Atlanta",ATL,1970,0,AtlantaFalcons,,,,,,,,,,,,,,,,
2023,0277,TMDL,CAR,"Panthers, Carolina",CAR,1970,0,Panthers,,,,,,,,,,,,,,,,
2023,0278,TMDL,LAR,"Rams, Los Angeles",FA,1970,0,STLouisRams,,,,,,,,,,,,,,,,
2023,0279,TMDL,NOS,"Saints, New Orleans",NOS,1970,0,saints,,,,,,,,,,,,,,,,
2023,0280,TMDL,SFO,"49ers, San Francisco",SFO,1970,0,49ers,,,,,,,,,,,,,,,,
2023,0281,TMDL,BAL,"Ravens, Baltimore",BAL,1970,0,ravens,,,,,,,,,,,,,,,,
2023,0282,TMDL,HOU,"Texans, Houston",HOU,1970,0,houstontexans,,,,,,,,,,,,,,,,
2023,0301,TMLB,BUF,"Bills, Buffalo",BUF,1970,0,buffalobills,,,,,,,,,,,,,,,,
2023,0302,TMLB,IND,"Colts, Indianapolis",IND,1970,0,nflcolts,,,,,,,,,,,,,,,,
2023,0303,TMLB,MIA,"Dolphins, Miami",MIA,1970,0,MiamiDolphins,,,,,,,,,,,,,,,,
2023,0304,TMLB,NEP,"Patriots, New England",NEP,1970,0,patriots,,,,,,,,,,,,,,,,
2023,0305,TMLB,NYJ,"Jets, New York",NYJ,1970,0,nyjets,,,,,,,,,,,,,,,,
2023,0306,TMLB,CIN,"Bengals, Cincinnati",CIN,1970,0,Bengals,,,,,,,,,,,,,,,,
2023,0307,TMLB,CLE,"Browns, Cleveland",CLE,1970,0,OfficialBrowns,,,,,,,,,,,,,,,,
2023,0308,TMLB,TEN,"Titans, Tennessee",TEN,1970,0,tennesseetitans,,,,,,,,,,,,,,,,
2023,0309,TMLB,JAC,"Jaguars, Jacksonville",JAC,1970,0,jaguarsinsider,,,,,,,,,,,,,,,,
2023,0310,TMLB,PIT,"Steelers, Pittsburgh",PIT,1970,0,steelers,,,,,,,,,,,,,,,,
2023,0311,TMLB,DEN,"Broncos, Denver",DEN,1970,0,DenverBroncos,,,,,,,,,,,,,,,,
2023,0312,TMLB,KCC,"Chiefs, Kansas City",KCC,1970,0,kcchiefs,,,,,,,,,,,,,,,,
2023,0313,TMLB,LVR,"Raiders, Las Vegas",OAK,1970,0,raiders,,,,,,,,,,,,,,,,
2023,0314,TMLB,LAC,"Chargers, Los Angeles",FA,1970,0,chargers,,,,,,,,,,,,,,,,
2023,0315,TMLB,SEA,"Seahawks, Seattle",SEA,1970,0,seahawks,,,,,,,,,,,,,,,,
2023,0316,TMLB,DAL,"Cowboys, Dallas",DAL,1970,0,dallascowboys,,,,,,,,,,,,,,,,
2023,0317,TMLB,NYG,"Giants, New York",NYG,1970,0,giants,,,,,,,,,,,,,,,,
2023,0318,TMLB,PHI,"Eagles, Philadelphia",PHI,1970,0,Eagles,,,,,,,,,,,,,,,,
2023,0319,TMLB,ARI,"Cardinals, Arizona",ARI,1970,0,AZCardinals,,,,,,,,,,,,,,,,
2023,0320,TMLB,WAS,"Commanders, Washington",WAS,1970,0,Redskins,,,,,,,,,,,,,,,,
2023,0321,TMLB,CHI,"Bears, Chicago",CHI,1970,0,ChicagoBears,,,,,,,,,,,,,,,,
2023,0322,TMLB,DET,"Lions, Detroit",DET,1970,0,detroitlionsnfl,,,,,,,,,,,,,,,,
2023,0323,TMLB,GBP,"Packers, Green Bay",GBP,1970,0,packers,,,,,,,,,,,,,,,,
2023,0324,TMLB,MIN,"Vikings, Minnesota",MIN,1970,0,Vikings,,,,,,,,,,,,,,,,
2023,0325,TMLB,TBB,"Buccaneers, Tampa Bay",TBB,1970,0,TBBuccaneers,,,,,,,,,,,,,,,,
2023,0326,TMLB,ATL,"Falcons, Atlanta",ATL,1970,0,AtlantaFalcons,,,,,,,,,,,,,,,,
2023,0327,TMLB,CAR,"Panthers, Carolina",CAR,1970,0,Panthers,,,,,,,,,,,,,,,,
2023,0328,TMLB,LAR,"Rams, Los Angeles",FA,1970,0,STLouisRams,,,,,,,,,,,,,,,,
2023,0329,TMLB,NOS,"Saints, New Orleans",NOS,1970,0,saints,,,,,,,,,,,,,,,,
2023,0330,TMLB,SFO,"49ers, San Francisco",SFO,1970,0,49ers,,,,,,,,,,,,,,,,
2023,0331,TMLB,BAL,"Ravens, Baltimore",BAL,1970,0,ravens,,,,,,,,,,,,,,,,
2023,0332,TMLB,HOU,"Texans, Houston",HOU,1970,0,houstontexans,,,,,,,,,,,,,,,,
2023,0351,TMDB,BUF,"Bills, Buffalo",BUF,1970,0,buffalobills,,,,,,,,,,,,,,,,
2023,0352,TMDB,IND,"Colts, Indianapolis",IND,1970,0,nflcolts,,,,,,,,,,,,,,,,
2023,0353,TMDB,MIA,"Dolphins, Miami",MIA,1970,0,MiamiDolphins,,,,,,,,,,,,,,,,
2023,0354,TMDB,NEP,"Patriots, New England",NEP,1970,0,patriots,,,,,,,,,,,,,,,,
2023,0355,TMDB,NYJ,"Jets, New York",NYJ,1970,0,nyjets,,,,,,,,,,,,,,,,
2023,0356,TMDB,CIN,"Bengals, Cincinnati",CIN,1970,0,Bengals,,,,,,,,,,,,,,,,
2023,0357,TMDB,CLE,"Browns, Cleveland",CLE,1970,0,OfficialBrowns,,,,,,,,,,,,,,,,
2023,0358,TMDB,TEN,"Titans, Tennessee",TEN,1970,0,tennesseetitans,,,,,,,,,,,,,,,,
2023,0359,TMDB,JAC,"Jaguars, Jacksonville",JAC,1970,0,jaguarsinsider,,,,,,,,,,,,,,,,
2023,0360,TMDB,PIT,"Steelers, Pittsburgh",PIT,1970,0,steelers,,,,,,,,,,,,,,,,
2023,0361,TMDB,DEN,"Broncos, Denver",DEN,1970,0,DenverBroncos,,,,,,,,,,,,,,,,
2023,0362,TMDB,KCC,"Chiefs, Kansas City",KCC,1970,0,kcchiefs,,,,,,,,,,,,,,,,
2023,0363,TMDB,LVR,"Raiders, Las Vegas",OAK,1970,0,raiders,,,,,,,,,,,,,,,,
2023,0364,TMDB,LAC,"Chargers, Los Angeles",FA,1970,0,chargers,,,,,,,,,,,,,,,,
2023,0365,TMDB,SEA,"Seahawks, Seattle",SEA,1970,0,seahawks,,,,,,,,,,,,,,,,
2023,0366,TMDB,DAL,"Cowboys, Dallas",DAL,1970,0,dallascowboys,,,,,,,,,,,,,,,,
2023,0367,TMDB,NYG,"Giants, New York",NYG,1970,0,giants,,,,,,,,,,,,,,,,
2023,0368,TMDB,PHI,"Eagles, Philadelphia",PHI,1970,0,Eagles,,,,,,,,,,,,,,,,
2023,0369,TMDB,ARI,"Cardinals, Arizona",ARI,1970,0,AZCardinals,,,,,,,,,,,,,,,,
2023,0370,TMDB,WAS,"Commanders, Washington",WAS,1970,0,Redskins,,,,,,,,,,,,,,,,
2023,0371,TMDB,CHI,"Bears, Chicago",CHI,1970,0,ChicagoBears,,,,,,,,,,,,,,,,
2023,0372,TMDB,DET,"Lions, Detroit",DET,1970,0,detroitlionsnfl,,,,,,,,,,,,,,,,
2023,0373,TMDB,GBP,"Packers, Green Bay",GBP,1970,0,packers,,,,,,,,,,,,,,,,
2023,0374,TMDB,MIN,"Vikings, Minnesota",MIN,1970,0,Vikings,,,,,,,,,,,,,,,,
2023,0375,TMDB,TBB,"Buccaneers, Tampa Bay",TBB,1970,0,TBBuccaneers,,,,,,,,,,,,,,,,
2023,0376,TMDB,ATL,"Falcons, Atlanta",ATL,1970,0,AtlantaFalcons,,,,,,,,,,,,,,,,
2023,0377,TMDB,CAR,"Panthers, Carolina",CAR,1970,0,Panthers,,,,,,,,,,,,,,,,
2023,0378,TMDB,LAR,"Rams, Los Angeles",FA,1970,0,STLouisRams,,,,,,,,,,,,,,,,
2023,0379,TMDB,NOS,"Saints, New Orleans",NOS,1970,0,saints,,,,,,,,,,,,,,,,
2023,0380,TMDB,SFO,"49ers, San Francisco",SFO,1970,0,49ers,,,,,,,,,,,,,,,,
2023,0381,TMDB,BAL,"Ravens, Baltimore",BAL,1970,0,ravens,,,,,,,,,,,,,,,,
2023,0382,TMDB,HOU,"Texans, Houston",HOU,1970,0,houstontexans,,,,,,,,,,,,,,,,
2023,0401,TMTE,BUF,"Bills, Buffalo",BUF,1970,0,buffalobills,,,,,,,,,,,,,,,,
2023,0402,TMTE,IND,"Colts, Indianapolis",IND,1970,0,nflcolts,,,,,,,,,,,,,,,,
2023,0403,TMTE,MIA,"Dolphins, Miami",MIA,1970,0,MiamiDolphins,,,,,,,,,,,,,,,,
2023,0404,TMTE,NEP,"Patriots, New England",NEP,1970,0,patriots,,,,,,,,,,,,,,,,
2023,0405,TMTE,NYJ,"Jets, New York",NYJ,1970,0,nyjets,,,,,,,,,,,,,,,,
2023,0406,TMTE,CIN,"Bengals, Cincinnati",CIN,1970,0,Bengals,,,,,,,,,,,,,,,,
2023,0407,TMTE,CLE,"Browns, Cleveland",CLE,1970,0,OfficialBrowns,,,,,,,,,,,,,,,,
2023,0408,TMTE,TEN,"Titans, Tennessee",TEN,1970,0,tennesseetitans,,,,,,,,,,,,,,,,
2023,0409,TMTE,JAC,"Jaguars, Jacksonville",JAC,1970,0,jaguarsinsider,,,,,,,,,,,,,,,,
2023,0410,TMTE,PIT,"Steelers, Pittsburgh",PIT,1970,0,steelers,,,,,,,,,,,,,,,,
2023,0411,TMTE,DEN,"Broncos, Denver",DEN,1970,0,DenverBroncos,,,,,,,,,,,,,,,,
2023,0412,TMTE,KCC,"Chiefs, Kansas City",KCC,1970,0,kcchiefs,,,,,,,,,,,,,,,,
2023,0413,TMTE,LVR,"Raiders, Las Vegas",OAK,1970,0,raiders,,,,,,,,,,,,,,,,
2023,0414,TMTE,LAC,"Chargers, Los Angeles",FA,1970,0,chargers,,,,,,,,,,,,,,,,
2023,0415,TMTE,SEA,"Seahawks, Seattle",SEA,1970,0,seahawks,,,,,,,,,,,,,,,,
2023,0416,TMTE,DAL,"Cowboys, Dallas",DAL,1970,0,dallascowboys,,,,,,,,,,,,,,,,
2023,0417,TMTE,NYG,"Giants, New York",NYG,1970,0,giants,,,,,,,,,,,,,,,,
2023,0418,TMTE,PHI,"Eagles, Philadelphia",PHI,1970,0,Eagles,,,,,,,,,,,,,,,,
2023,0419,TMTE,ARI,"Cardinals, Arizona",ARI,1970,0,AZCardinals,,,,,,,,,,,,,,,,
2023,0420,TMTE,WAS,"Commanders, Washington",WAS,1970,0,Redskins,,,,,,,,,,,,,,,,
2023,0421,TMTE,CHI,"Bears, Chicago",CHI,1970,0,ChicagoBears,,,,,,,,,,,,,,,,
2023,0422,TMTE,DET,"Lions, Detroit",DET,1970,0,detroitlionsnfl,,,,,,,,,,,,,,,,
2023,0423,TMTE,GBP,"Packers, Green Bay",GBP,1970,0,packers,,,,,,,,,,,,,,,,
2023,0424,TMTE,MIN,"Vikings, Minnesota",MIN,1970,0,Vikings,,,,,,,,,,,,,,,,
2023,0425,TMTE,TBB,"Buccaneers, Tampa Bay",TBB,1970,0,TBBuccaneers,,,,,,,,,,,,,,,,
2023,0426,TMTE,ATL,"Falcons, Atlanta",ATL,1970,0,AtlantaFalcons,,,,,,,,,,,,,,,,
2023,0427,TMTE,CAR,"Panthers, Carolina",CAR,1970,0,Panthers,,,,,,,,,,,,,,,,
2023,0428,TMTE,LAR,"Rams, Los Angeles",FA,1970,0,STLouisRams,,,,,,,,,,,,,,,,
2023,0429,TMTE,NOS,"Saints, New Orleans",NOS,1970,0,saints,,,,,,,,,,,,,,,,
2023,0430,TMTE,SFO,"49ers, San Francisco",SFO,1970,0,49ers,,,,,,,,,,,,,,,,
2023,0431,TMTE,BAL,"Ravens, Baltimore",BAL,1970,0,ravens,,,,,,,,,,,,,,,,
2023,0432,TMTE,HOU,"Texans, Houston",HOU,1970,0,houstontexans,,,,,,,,,,,,,,,,
2023,0501,Def,BUF,"Bills, Buffalo",BUF,1970,0,buffalobills,409,2331,2,,,,,,,,,,,,,
2023,0502,Def,IND,"Colts, Indianapolis",IND,1970,0,nflcolts,402,2341,11,,,,,,,,,,,,,
2023,0503,Def,MIA,"Dolphins, Miami",MIA,1970,0,MiamiDolphins,404,2344,15,,,,,,,,,,,,,
2023,0504,Def,NEP,"Patriots, New England",NEP,1970,0,patriots,406,2346,17,,,,,,,,,,,,,
2023,0505,Def,NYJ,"Jets, New York",NYJ,1970,0,nyjets,410,2349,20,,,,,,,,,,,,,
2023,0506,Def,CIN,"Bengals, Cincinnati",CIN,1970,0,Bengals,426,2334,4,,,,,,,,,,,,,
2023,0507,Def,CLE,"Browns, Cleveland",CLE,1970,0,OfficialBrowns,419,2335,5,,,,,,,,,,,,,
2023,0508,Def,TEN,"Titans, Tennessee",TEN,1970,0,tennesseetitans,431,2358,10,,,,,,,,,,,,,
2023,0509,Def,JAC,"Jaguars, Jacksonville",JAC,1970,0,jaguarsinsider,422,2342,30,,,,,,,,,,,,,
2023,0510,Def,PIT,"Steelers, Pittsburgh",PIT,1970,0,steelers,413,2352,23,,,,,,,,,,,,,
2023,0511,Def,DEN,"Broncos, Denver",DEN,1970,0,DenverBroncos,428,2337,7,,,,,,,,,,,,,
2023,0512,Def,KCC,"Chiefs, Kansas City",KCC,1970,0,kcchiefs,403,2343,12,,,,,,,,,,,,,
2023,0513,Def,LVR,"Raiders, Las Vegas",OAK,1970,0,raiders,424,2350,13,,,,,,,,,,,,,
2023,0514,Def,LAC,"Chargers, Los Angeles",FA,1970,0,chargers,414,,24,,,,,,,,,,,,,
2023,0515,Def,SEA,"Seahawks, Seattle",SEA,1970,0,seahawks,416,2354,26,,,,,,,,,,,,,
2023,0516,Def,DAL,"Cowboys, Dallas",DAL,1970,0,dallascowboys,427,2336,6,,,,,,,,,,,,,
2023,0517,Def,NYG,"Giants, New York",NYG,1970,0,giants,408,2348,19,,,,,,,,,,,,,
2023,0518,Def,PHI,"Eagles, Philadelphia",PHI,1970,0,Eagles,411,2351,21,,,,,,,,,,,,,
2023,0519,Def,ARI,"Cardinals, Arizona",ARI,1970,0,AZCardinals,412,2328,22,,,,,,,,,,,,,
2023,0520,Def,WAS,"Commanders, Washington",WAS,1970,0,Redskins,418,,28,,,,,,,,,,,,,
2023,0521,Def,CHI,"Bears, Chicago",CHI,1970,0,ChicagoBears,421,2333,3,,,,,,,,,,,,,
2023,0522,Def,DET,"Lions, Detroit",DET,1970,0,detroitlionsnfl,429,2338,8,,,,,,,,,,,,,
2023,0523,Def,GBP,"Packers, Green Bay",GBP,1970,0,packers,430,2339,9,,,,,,,,,,,,,
2023,0524,Def,MIN,"Vikings, Minnesota",MIN,1970,0,Vikings,405,2345,16,,,,,,,,,,,,,
2023,0525,Def,TBB,"Buccaneers, Tampa Bay",TBB,1970,0,TBBuccaneers,417,2357,27,,,,,,,,,,,,,
2023,0526,Def,ATL,"Falcons, Atlanta",ATL,1970,0,AtlantaFalcons,401,2329,1,,,,,,,,,,,,,
2023,0527,Def,CAR,"Panthers, Carolina",CAR,1970,0,Panthers,420,2332,29,,,,,,,,,,,,,
2023,0528,Def,LAR,"Rams, Los Angeles",FA,1970,0,STLouisRams,423,,14,,,,,,,,,,,,,
2023,0529,Def,NOS,"Saints, New Orleans",NOS,1970,0,saints,407,2347,18,,,,,,,,,,,,,
2023,0530,Def,SFO,"49ers, San Francisco",SFO,1970,0,49ers,415,,25,,,,,,,,,,,,,
2023,0531,Def,BAL,"Ravens, Baltimore",BAL,1970,0,ravens,425,2330,33,,,,,,,,,,,,,
2023,0532,Def,HOU,"Texans, Houston",HOU,1970,0,houstontexans,432,2340,34,,,,,,,,,,,,,
2023,0551,ST,BUF,"Bills, Buffalo",BUF,1970,0,buffalobills,309,,,,,,,,,,,,,,,
2023,0552,ST,IND,"Colts, Indianapolis",IND,1970,0,nflcolts,302,,,,,,,,,,,,,,,
2023,0553,ST,MIA,"Dolphins, Miami",MIA,1970,0,MiamiDolphins,304,,,,,,,,,,,,,,,
2023,0554,ST,NEP,"Patriots, New England",NEP,1970,0,patriots,306,,,,,,,,,,,,,,,
2023,0555,ST,NYJ,"Jets, New York",NYJ,1970,0,nyjets,310,,,,,,,,,,,,,,,
2023,0556,ST,CIN,"Bengals, Cincinnati",CIN,1970,0,Bengals,326,,,,,,,,,,,,,,,
2023,0557,ST,CLE,"Browns, Cleveland",CLE,1970,0,OfficialBrowns,319,,,,,,,,,,,,,,,
2023,0558,ST,TEN,"Titans, Tennessee",TEN,1970,0,tennesseetitans,331,,,,,,,,,,,,,,,
2023,0559,ST,JAC,"Jaguars, Jacksonville",JAC,1970,0,jaguarsinsider,322,,,,,,,,,,,,,,,
2023,0560,ST,PIT,"Steelers, Pittsburgh",PIT,1970,0,steelers,313,,,,,,,,,,,,,,,
2023,0561,ST,DEN,"Broncos, Denver",DEN,1970,0,DenverBroncos,328,,,,,,,,,,,,,,,
2023,0562,ST,KCC,"Chiefs, Kansas City",KCC,1970,0,kcchiefs,303,,,,,,,,,,,,,,,
2023,0563,ST,LVR,"Raiders, Las Vegas",OAK,1970,0,raiders,324,,,,,,,,,,,,,,,
2023,0564,ST,LAC,"Chargers, Los Angeles",FA,1970,0,chargers,314,,,,,,,,,,,,,,,
2023,0565,ST,SEA,"Seahawks, Seattle",SEA,1970,0,seahawks,316,,,,,,,,,,,,,,,
2023,0566,ST,DAL,"Cowboys, Dallas",DAL,1970,0,dallascowboys,327,,,,,,,,,,,,,,,
2023,0567,ST,NYG,"Giants, New York",NYG,1970,0,giants,308,,,,,,,,,,,,,,,
2023,0568,ST,PHI,"Eagles, Philadelphia",PHI,1970,0,Eagles,311,,,,,,,,,,,,,,,
2023,0569,ST,ARI,"Cardinals, Arizona",ARI,1970,0,AZCardinals,312,,,,,,,,,,,,,,,
2023,0570,ST,WAS,"Commanders, Washington",WAS,1970,0,Redskins,318,,,,,,,,,,,,,,,
